Genes,Description,Enrichment,pValue
HELZ,Probable helicase with zinc finger domain OS=Homo sapiens GN=HELZ PE=1 SV=2,1.901706601,0.095481017
VDAC2,Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens GN=VDAC2 PE=1 SV=2,1.896539527,0.021881839
LIPA1,Liprin-alpha-1 OS=Homo sapiens GN=PPFIA1 PE=1 SV=1,1.895095044,0.546843695
RL26,60S ribosomal protein L26 OS=Homo sapiens GN=RPL26 PE=1 SV=1,1.894504663,0.018877287
AIFM1,"Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens GN=AIFM1 PE=1 SV=1",1.88566503,0.008808009
RS6,40S ribosomal protein S6 OS=Homo sapiens GN=RPS6 PE=1 SV=1,1.884479287,0.008589139
TBA1B,Tubulin alpha-1B chain OS=Homo sapiens GN=TUBA1B PE=1 SV=1,1.883945688,4.72E-05
RL13,60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4,1.878211757,0.281547059
NSDHL,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating OS=Homo sapiens GN=NSDHL PE=1 SV=2",1.878061644,0.002209856
PSMD3,26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens GN=PSMD3 PE=1 SV=2,1.877439396,0.004770346
NDUAA,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Homo sapiens GN=NDUFA10 PE=1 SV=1",1.875053479,0.036563809
EXOC4,Exocyst complex component 4 OS=Homo sapiens GN=EXOC4 PE=1 SV=1,1.875023038,0.022079535
P5CR1,"Pyrroline-5-carboxylate reductase 1, mitochondrial OS=Homo sapiens GN=PYCR1 PE=1 SV=2",1.87089168,0.44711577
ASNS,Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens GN=ASNS PE=1 SV=4,1.867971667,0.02285434
DLDH,"Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens GN=DLD PE=1 SV=2",1.859726253,0.026744444
FAKD5,"FAST kinase domain-containing protein 5, mitochondrial OS=Homo sapiens GN=FASTKD5 PE=1 SV=1",1.857583545,0.093276406
MAGD2,Melanoma-associated antigen D2 OS=Homo sapiens GN=MAGED2 PE=1 SV=2,1.857180112,0.029543043
TMM33,Transmembrane protein 33 OS=Homo sapiens GN=TMEM33 PE=1 SV=2,1.850892452,0.031886579
K1671,Uncharacterized protein KIAA1671 OS=Homo sapiens GN=KIAA1671 PE=1 SV=2,1.849721956,0.164402855
RPN1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens GN=RPN1 PE=1 SV=1,1.848962475,0.033049736
RS3,40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=2,1.842650511,0.0062506
TBB5,Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2,1.841142681,2.25E-05
FLII,Protein flightless-1 homolog OS=Homo sapiens GN=FLII PE=1 SV=2,1.835431655,0.005263278
TMEDA,Transmembrane emp24 domain-containing protein 10 OS=Homo sapiens GN=TMED10 PE=1 SV=2,1.831525956,0.057636155
COPD,Coatomer subunit delta OS=Homo sapiens GN=ARCN1 PE=1 SV=1,1.830577169,0.02374756
IF4G1,Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens GN=EIF4G1 PE=1 SV=4,1.828533702,0.000322599
LTV1,Protein LTV1 homolog OS=Homo sapiens GN=LTV1 PE=1 SV=1,1.827367386,0.103898968
DDX20,Probable ATP-dependent RNA helicase DDX20 OS=Homo sapiens GN=DDX20 PE=1 SV=2,1.825406695,0.018968553
EIF3H,Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens GN=EIF3H PE=1 SV=1,1.823596433,0.023612536
ARL1,ADP-ribosylation factor-like protein 1 OS=Homo sapiens GN=ARL1 PE=1 SV=1,1.82127256,0.530898022
PCNA,Proliferating cell nuclear antigen OS=Homo sapiens GN=PCNA PE=1 SV=1,1.819966462,0.023424955
TBCD4,TBC1 domain family member 4 OS=Homo sapiens GN=TBC1D4 PE=1 SV=2,1.812516496,0.025944445
43354,Septin-11 OS=Homo sapiens GN=SEPT11 PE=1 SV=3,1.810929845,0.046008111
SMC2,Structural maintenance of chromosomes protein 2 OS=Homo sapiens GN=SMC2 PE=1 SV=2,1.809906037,0.014969559
EIF3I,Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens GN=EIF3I PE=1 SV=1,1.808262304,0.00413234
RAD50,DNA repair protein RAD50 OS=Homo sapiens GN=RAD50 PE=1 SV=1,1.805570816,0.084379767
MYPT1,Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens GN=PPP1R12A PE=1 SV=1,1.80493366,0.499424153
MCM7,DNA replication licensing factor MCM7 OS=Homo sapiens GN=MCM7 PE=1 SV=4,1.8037951,0.000381537
NOC2L,Nucleolar complex protein 2 homolog OS=Homo sapiens GN=NOC2L PE=1 SV=4,1.799940871,0.180663366
STT3B,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B OS=Homo sapiens GN=STT3B PE=1 SV=1,1.793890172,0.079382905
RL5,60S ribosomal protein L5 OS=Homo sapiens GN=RPL5 PE=1 SV=3,1.791499711,0.054368322
RFLB,Refilin-B OS=Homo sapiens GN=RFLNB PE=1 SV=1,1.790264973,0.583657922
GTPB1,GTP-binding protein 1 OS=Homo sapiens GN=GTPBP1 PE=1 SV=3,1.788097869,0.425514063
UBAP2,Ubiquitin-associated protein 2 OS=Homo sapiens GN=UBAP2 PE=1 SV=1,1.786738351,0.08241063
CNOT3,CCR4-NOT transcription complex subunit 3 OS=Homo sapiens GN=CNOT3 PE=1 SV=1,1.785518272,0.505891464
TOM22,Mitochondrial import receptor subunit TOM22 homolog OS=Homo sapiens GN=TOMM22 PE=1 SV=3,1.784133679,0.00582758
PIGU,Phosphatidylinositol glycan anchor biosynthesis class U protein OS=Homo sapiens GN=PIGU PE=1 SV=3,1.782715685,0.064361195
ALMS1,Alstrom syndrome protein 1 OS=Homo sapiens GN=ALMS1 PE=1 SV=3,1.779720672,0.516315395
RTRAF,"RNA transcription, translation and transport factor protein OS=Homo sapiens GN=RTRAF PE=1 SV=1",1.776750304,0.564459077
RAB21,Ras-related protein Rab-21 OS=Homo sapiens GN=RAB21 PE=1 SV=3,1.774121133,0.019218052
ARGL1,Arginine and glutamate-rich protein 1 OS=Homo sapiens GN=ARGLU1 PE=1 SV=1,1.773158393,0.011734273
IMA1,Importin subunit alpha-1 OS=Homo sapiens GN=KPNA2 PE=1 SV=1,1.766028433,0.010733769
RL10,60S ribosomal protein L10 OS=Homo sapiens GN=RPL10 PE=1 SV=4,1.761554767,0.004236037
ULA1,NEDD8-activating enzyme E1 regulatory subunit OS=Homo sapiens GN=NAE1 PE=1 SV=1,1.760049513,0.027120476
FA98A,Protein FAM98A OS=Homo sapiens GN=FAM98A PE=1 SV=1,1.759025618,8.96E-05
HACD3,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 OS=Homo sapiens GN=HACD3 PE=1 SV=2,1.749387234,0.010086093
G3BP2,Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens GN=G3BP2 PE=1 SV=2,1.746998714,0.028323112
G3BP1,Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens GN=G3BP1 PE=1 SV=1,1.743228117,0.018069404
HS90B,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,1.734526806,0.000443835
PLK1,Serine/threonine-protein kinase PLK1 OS=Homo sapiens GN=PLK1 PE=1 SV=1,1.731478792,0.030040853
FXR1,Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens GN=FXR1 PE=1 SV=3,1.729896217,0.028541886
HAUS6,HAUS augmin-like complex subunit 6 OS=Homo sapiens GN=HAUS6 PE=1 SV=2,1.722583654,0.003168929
PABP4,Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1,1.717287289,0.119240954
RS13,40S ribosomal protein S13 OS=Homo sapiens GN=RPS13 PE=1 SV=2,1.714524183,0.007243278
EFTU,"Elongation factor Tu, mitochondrial OS=Homo sapiens GN=TUFM PE=1 SV=2",1.71416837,1.16E-05
CNOT9,CCR4-NOT transcription complex subunit 9 OS=Homo sapiens GN=CNOT9 PE=1 SV=1,1.712767241,0.051442425
BCR,Breakpoint cluster region protein OS=Homo sapiens GN=BCR PE=1 SV=2,1.710291563,0.007960564
RL36A,60S ribosomal protein L36a OS=Homo sapiens GN=RPL36A PE=1 SV=2,1.704412216,0.093451794
NO40,Nucleolar protein of 40 kDa OS=Homo sapiens GN=ZCCHC17 PE=1 SV=1,1.703251009,0.699636533
AIMP2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens GN=AIMP2 PE=1 SV=2,1.703193722,0.024374023
UBAC2,Ubiquitin-associated domain-containing protein 2 OS=Homo sapiens GN=UBAC2 PE=1 SV=1,1.701709717,0.006029322
EIF3B,Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens GN=EIF3B PE=1 SV=3,1.699680106,0.00116029
STAU1,Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens GN=STAU1 PE=1 SV=2,1.698027303,0.003374037
CTBP2,C-terminal-binding protein 2 OS=Homo sapiens GN=CTBP2 PE=1 SV=1,1.696324134,0.028050524
HSDL2,Hydroxysteroid dehydrogenase-like protein 2 OS=Homo sapiens GN=HSDL2 PE=1 SV=1,1.690004715,0.040945516
RAB1A,Ras-related protein Rab-1A OS=Homo sapiens GN=RAB1A PE=1 SV=3,1.689520914,0.035739388
CDR2,Cerebellar degeneration-related protein 2 OS=Homo sapiens GN=CDR2 PE=1 SV=2,1.686484482,0.034676037
DVL2,Segment polarity protein dishevelled homolog DVL-2 OS=Homo sapiens GN=DVL2 PE=1 SV=1,1.680636339,0.056984351
RBGPR,Rab3 GTPase-activating protein non-catalytic subunit OS=Homo sapiens GN=RAB3GAP2 PE=1 SV=1,1.678162505,0.011709925
TRAP1,"Heat shock protein 75 kDa, mitochondrial OS=Homo sapiens GN=TRAP1 PE=1 SV=3",1.677857966,0.003472603
P53,Cellular tumor antigen p53 OS=Homo sapiens GN=TP53 PE=1 SV=4,1.676777782,0.004305865
DESP,Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3,1.676268461,0.000470541
COPG1,Coatomer subunit gamma-1 OS=Homo sapiens GN=COPG1 PE=1 SV=1,1.675575885,0.039775176
GARS,Glycine--tRNA ligase OS=Homo sapiens GN=GARS PE=1 SV=3,1.668288566,0.059053466
ENOA,Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2,1.655272189,0.018625598
XPO5,Exportin-5 OS=Homo sapiens GN=XPO5 PE=1 SV=1,1.651745807,0.605009866
BICD2,Protein bicaudal D homolog 2 OS=Homo sapiens GN=BICD2 PE=1 SV=1,1.645735942,0.002002575
MA7D3,MAP7 domain-containing protein 3 OS=Homo sapiens GN=MAP7D3 PE=1 SV=2,1.642596274,0.159524839
COQ8A,"Atypical kinase COQ8A, mitochondrial OS=Homo sapiens GN=COQ8A PE=1 SV=1",1.63881441,0.029462672
RS30,40S ribosomal protein S30 OS=Homo sapiens GN=FAU PE=1 SV=1,1.635012858,0.01073396
KBP,KIF1-binding protein OS=Homo sapiens GN=KIF1BP PE=1 SV=1,1.633840914,0.010862845
FAF2,FAS-associated factor 2 OS=Homo sapiens GN=FAF2 PE=1 SV=2,1.632677514,0.474018489
RPTOR,Regulatory-associated protein of mTOR OS=Homo sapiens GN=RPTOR PE=1 SV=1,1.628769282,0.011464411
TCPD,T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4,1.625444771,0.000342845
TCPG,T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=4,1.62113909,0.00102994
ECD,Protein ecdysoneless homolog OS=Homo sapiens GN=ECD PE=1 SV=1,1.617273123,0.037611718
PP6R3,Serine/threonine-protein phosphatase 6 regulatory subunit 3 OS=Homo sapiens GN=PPP6R3 PE=1 SV=2,1.612812737,0.036704756
RL9,60S ribosomal protein L9 OS=Homo sapiens GN=RPL9 PE=1 SV=1,1.609897539,0.000582536
MSH3,DNA mismatch repair protein Msh3 OS=Homo sapiens GN=MSH3 PE=1 SV=4,1.603913004,0.688284648
PUR2,Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens GN=GART PE=1 SV=1,1.603477526,0.002103884
RS23,40S ribosomal protein S23 OS=Homo sapiens GN=RPS23 PE=1 SV=3,1.596994825,0.018267377
TECR,Very-long-chain enoyl-CoA reductase OS=Homo sapiens GN=TECR PE=1 SV=1,1.596213426,0.040214421
RS8,40S ribosomal protein S8 OS=Homo sapiens GN=RPS8 PE=1 SV=2,1.59549852,3.54E-05
ZCHC3,Zinc finger CCHC domain-containing protein 3 OS=Homo sapiens GN=ZCCHC3 PE=1 SV=1,1.589183013,0.221724854
DHB12,Very-long-chain 3-oxoacyl-CoA reductase OS=Homo sapiens GN=HSD17B12 PE=1 SV=2,1.587570688,0.065291841
TXLNA,Alpha-taxilin OS=Homo sapiens GN=TXLNA PE=1 SV=3,1.587237571,0.057810557
DCP1A,mRNA-decapping enzyme 1A OS=Homo sapiens GN=DCP1A PE=1 SV=2,1.58367923,0.703319239
TBB4B,Tubulin beta-4B chain OS=Homo sapiens GN=TUBB4B PE=1 SV=1,1.581180821,0.000724643
SYRC,"Arginine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=RARS PE=1 SV=2",1.578704696,0.007289007
LDHA,L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2,1.574097237,0.129859879
RS27A,Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2,1.570252554,0.002429265
SKIV2,Helicase SKI2W OS=Homo sapiens GN=SKIV2L PE=1 SV=3,1.570236439,0.060473336
PDLI5,PDZ and LIM domain protein 5 OS=Homo sapiens GN=PDLIM5 PE=1 SV=5,1.567442094,0.117759911
UBC9,SUMO-conjugating enzyme UBC9 OS=Homo sapiens GN=UBE2I PE=1 SV=1,1.560269443,0.201610442
DVL3,Segment polarity protein dishevelled homolog DVL-3 OS=Homo sapiens GN=DVL3 PE=1 SV=2,1.559614467,0.071267802
SMD1,Small nuclear ribonucleoprotein Sm D1 OS=Homo sapiens GN=SNRPD1 PE=1 SV=1,1.558165951,0.270971278
ATPA,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1",1.54697894,0.013606269
DYST,Dystonin OS=Homo sapiens GN=DST PE=1 SV=4,1.538152314,0.112951803
SRS11,Serine/arginine-rich splicing factor 11 OS=Homo sapiens GN=SRSF11 PE=1 SV=1,1.536059604,0.737265316
GAPD1,GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens GN=GAPVD1 PE=1 SV=2,1.53505706,0.138333237
LARP1,La-related protein 1 OS=Homo sapiens GN=LARP1 PE=1 SV=2,1.534886576,0.152943941
P2R3A,Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha OS=Homo sapiens GN=PPP2R3A PE=1 SV=1,1.534299651,0.504466341
BCCIP,BRCA2 and CDKN1A-interacting protein OS=Homo sapiens GN=BCCIP PE=1 SV=1,1.533258899,0.045947499
RAPH1,Ras-associated and pleckstrin homology domains-containing protein 1 OS=Homo sapiens GN=RAPH1 PE=1 SV=3,1.531926039,0.444528425
ROA2,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2,1.531219245,0.782595392
CE170,Centrosomal protein of 170 kDa OS=Homo sapiens GN=CEP170 PE=1 SV=1,1.521906736,0.242787845
SRC8,Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2,1.521773065,0.059302454
MCM6,DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1,1.521179762,0.074553056
RBP2,E3 SUMO-protein ligase RanBP2 OS=Homo sapiens GN=RANBP2 PE=1 SV=2,1.513037488,0.216515464
PYM1,Partner of Y14 and mago OS=Homo sapiens GN=PYM1 PE=1 SV=1,1.50991515,0.041176389
S61A1,Protein transport protein Sec61 subunit alpha isoform 1 OS=Homo sapiens GN=SEC61A1 PE=1 SV=2,1.509227706,0.208605328
RIOK1,Serine/threonine-protein kinase RIO1 OS=Homo sapiens GN=RIOK1 PE=1 SV=2,1.50524194,0.096088443
RS3A,40S ribosomal protein S3a OS=Homo sapiens GN=RPS3A PE=1 SV=2,1.50486982,0.153561149
CBPC1,Cytosolic carboxypeptidase 1 OS=Homo sapiens GN=AGTPBP1 PE=1 SV=3,1.503656504,0.004314156
KCC2D,Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Homo sapiens GN=CAMK2D PE=1 SV=3,1.494153036,0.029402145
RL21,60S ribosomal protein L21 OS=Homo sapiens GN=RPL21 PE=1 SV=2,1.487648501,0.069186598
IF5,Eukaryotic translation initiation factor 5 OS=Homo sapiens GN=EIF5 PE=1 SV=2,1.486062671,0.797584752
EF1G,Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3,1.485719544,0.023273388
WASC5,WASH complex subunit 5 OS=Homo sapiens GN=WASHC5 PE=1 SV=1,1.479789207,0.151106909
RANG,Ran-specific GTPase-activating protein OS=Homo sapiens GN=RANBP1 PE=1 SV=1,1.475142916,0.008355357
KPYM,Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4,1.475040162,0.00086224
SYVC,Valine--tRNA ligase OS=Homo sapiens GN=VARS PE=1 SV=4,1.474759671,0.067694437
TBB4A,Tubulin beta-4A chain OS=Homo sapiens GN=TUBB4A PE=1 SV=2,1.462034623,0.041179597
CAMP1,Calmodulin-regulated spectrin-associated protein 1 OS=Homo sapiens GN=CAMSAP1 PE=1 SV=2,1.46130733,0.302407228
KIF11,Kinesin-like protein KIF11 OS=Homo sapiens GN=KIF11 PE=1 SV=2,1.461135775,0.001817094
XPOT,Exportin-T OS=Homo sapiens GN=XPOT PE=1 SV=2,1.460477532,0.028025946
RS2,40S ribosomal protein S2 OS=Homo sapiens GN=RPS2 PE=1 SV=2,1.459768435,0.00027431
GNL3,Guanine nucleotide-binding protein-like 3 OS=Homo sapiens GN=GNL3 PE=1 SV=2,1.457460698,0.032749404
AL1B1,"Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens GN=ALDH1B1 PE=1 SV=3",1.456452475,0.83076318
CHM4B,Charged multivesicular body protein 4b OS=Homo sapiens GN=CHMP4B PE=1 SV=1,1.45480151,0.067658788
TNPO3,Transportin-3 OS=Homo sapiens GN=TNPO3 PE=1 SV=3,1.450538213,0.608092451
FHL1,Four and a half LIM domains protein 1 OS=Homo sapiens GN=FHL1 PE=1 SV=4,1.449331266,0.073107575
TAGL2,Transgelin-2 OS=Homo sapiens GN=TAGLN2 PE=1 SV=3,1.448963196,0.047734716
IPO11,Importin-11 OS=Homo sapiens GN=IPO11 PE=1 SV=1,1.445073294,0.891277076
DVL1,Segment polarity protein dishevelled homolog DVL-1 OS=Homo sapiens GN=DVL1 PE=1 SV=2,1.440206204,0.184920224
TCPA,T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1,1.437859479,0.002659728
PPM1F,Protein phosphatase 1F OS=Homo sapiens GN=PPM1F PE=1 SV=3,1.436671875,0.527354144
RL8,60S ribosomal protein L8 OS=Homo sapiens GN=RPL8 PE=1 SV=2,1.435206831,0.006921664
KAPCA,cAMP-dependent protein kinase catalytic subunit alpha OS=Homo sapiens GN=PRKACA PE=1 SV=2,1.425832858,0.030852088
ECHD1,Ethylmalonyl-CoA decarboxylase OS=Homo sapiens GN=ECHDC1 PE=1 SV=2,1.425004525,0.030904478
P5CS,Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2,1.422390131,0.018060724
CTNB1,Catenin beta-1 OS=Homo sapiens GN=CTNNB1 PE=1 SV=1,1.418705389,0.560098801
RAB5C,Ras-related protein Rab-5C OS=Homo sapiens GN=RAB5C PE=1 SV=2,1.414102454,0.020475922
HUWE1,E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens GN=HUWE1 PE=1 SV=3,1.413367531,0.169332416
DBNL,Drebrin-like protein OS=Homo sapiens GN=DBNL PE=1 SV=1,1.40994882,0.165434721
WDR75,WD repeat-containing protein 75 OS=Homo sapiens GN=WDR75 PE=1 SV=1,1.406531486,0.13600479
IRAK1,Interleukin-1 receptor-associated kinase 1 OS=Homo sapiens GN=IRAK1 PE=1 SV=2,1.406368029,0.881917595
FLNA,Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4,1.405214371,0.000529343
LGUL,Lactoylglutathione lyase OS=Homo sapiens GN=GLO1 PE=1 SV=4,1.396752717,0.911332262
UBR5,E3 ubiquitin-protein ligase UBR5 OS=Homo sapiens GN=UBR5 PE=1 SV=2,1.394347396,0.597728952
DX39A,ATP-dependent RNA helicase DDX39A OS=Homo sapiens GN=DDX39A PE=1 SV=2,1.391029792,0.154831351
FA83H,Protein FAM83H OS=Homo sapiens GN=FAM83H PE=1 SV=3,1.390764141,0.356047027
STT3A,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Homo sapiens GN=STT3A PE=1 SV=2,1.389120813,0.392614283
TPPC5,Trafficking protein particle complex subunit 5 OS=Homo sapiens GN=TRAPPC5 PE=1 SV=1,1.384278885,0.933034099
CDK5,Cyclin-dependent-like kinase 5 OS=Homo sapiens GN=CDK5 PE=1 SV=3,1.382417947,0.283910675
MAGD1,Melanoma-associated antigen D1 OS=Homo sapiens GN=MAGED1 PE=1 SV=3,1.378492673,0.139963866
IMB1,Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2,1.375408476,0.218595627
COPB,Coatomer subunit beta OS=Homo sapiens GN=COPB1 PE=1 SV=3,1.374515323,0.029211276
RIC8A,Synembryn-A OS=Homo sapiens GN=RIC8A PE=1 SV=3,1.370351926,0.289044492
LAT1,Large neutral amino acids transporter small subunit 1 OS=Homo sapiens GN=SLC7A5 PE=1 SV=2,1.368604207,0.179846176
RL18,60S ribosomal protein L18 OS=Homo sapiens GN=RPL18 PE=1 SV=2,1.366829214,0.239145105
RP25L,Ribonuclease P protein subunit p25-like protein OS=Homo sapiens GN=RPP25L PE=1 SV=1,1.36560825,0.307277484
AAAT,Neutral amino acid transporter B(0) OS=Homo sapiens GN=SLC1A5 PE=1 SV=2,1.358232851,0.964631176
CSK2B,Casein kinase II subunit beta OS=Homo sapiens GN=CSNK2B PE=1 SV=1,1.356472603,0.130818944
RL22,60S ribosomal protein L22 OS=Homo sapiens GN=RPL22 PE=1 SV=2,1.355603686,0.106476801
F193A,Protein FAM193A OS=Homo sapiens GN=FAM193A PE=1 SV=2,1.354519452,0.352826315
WDCP,WD repeat and coiled-coil-containing protein OS=Homo sapiens GN=WDCP PE=1 SV=1,1.352820634,0.260932299
AT2A2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens GN=ATP2A2 PE=1 SV=1,1.352151936,0.204816984
SH3G1,Endophilin-A2 OS=Homo sapiens GN=SH3GL1 PE=1 SV=1,1.350710596,0.047817336
CHRD1,Cysteine and histidine-rich domain-containing protein 1 OS=Homo sapiens GN=CHORDC1 PE=1 SV=2,1.348671249,0.138094344
P5CR3,Pyrroline-5-carboxylate reductase 3 OS=Homo sapiens GN=PYCR3 PE=1 SV=3,1.346189164,0.032931884
RL3,60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2,1.345856627,0.051081967
RL24,60S ribosomal protein L24 OS=Homo sapiens GN=RPL24 PE=1 SV=1,1.338135505,0.013926364
RNF10,RING finger protein 10 OS=Homo sapiens GN=RNF10 PE=1 SV=2,1.33737018,0.039369403
TFB1M,"Dimethyladenosine transferase 1, mitochondrial OS=Homo sapiens GN=TFB1M PE=1 SV=1",1.331997534,0.181261162
EIF3L,Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens GN=EIF3L PE=1 SV=1,1.329750097,0.243795672
MYO1C,Unconventional myosin-Ic OS=Homo sapiens GN=MYO1C PE=1 SV=4,1.322999695,0.368685552
RS27,40S ribosomal protein S27 OS=Homo sapiens GN=RPS27 PE=1 SV=3,1.321750305,0.3186891
DIAP1,Protein diaphanous homolog 1 OS=Homo sapiens GN=DIAPH1 PE=1 SV=2,1.320412323,0.260576643
sp|Q9C0C9|UBE2O,E2 ubiquitin-conjugating enzyme OS=Homo sapiens GN=UBE2O PE=1 SV=3,1.319975135,0.006705869
SNX9,Sorting nexin-9 OS=Homo sapiens GN=SNX9 PE=1 SV=1,1.319966841,0.136266842
MCM5,DNA replication licensing factor MCM5 OS=Homo sapiens GN=MCM5 PE=1 SV=5,1.315438756,0.083493725
RS14,40S ribosomal protein S14 OS=Homo sapiens GN=RPS14 PE=1 SV=3,1.309568289,0.095190299
KC1A,Casein kinase I isoform alpha OS=Homo sapiens GN=CSNK1A1 PE=1 SV=2,1.307868382,0.434059235
TM10C,tRNA methyltransferase 10 homolog C OS=Homo sapiens GN=TRMT10C PE=1 SV=2,1.306500429,0.299500022
MPCP,"Phosphate carrier protein, mitochondrial OS=Homo sapiens GN=SLC25A3 PE=1 SV=2",1.306236723,0.051713615
PGAM5,"Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Homo sapiens GN=PGAM5 PE=1 SV=2",1.30503409,0.280211729
DPM1,Dolichol-phosphate mannosyltransferase subunit 1 OS=Homo sapiens GN=DPM1 PE=1 SV=1,1.302195542,0.300393739
C2D1A,Coiled-coil and C2 domain-containing protein 1A OS=Homo sapiens GN=CC2D1A PE=1 SV=1,1.299674434,0.054047258
KIF14,Kinesin-like protein KIF14 OS=Homo sapiens GN=KIF14 PE=1 SV=1,1.296668978,0.384407498
M2OM,Mitochondrial 2-oxoglutarate/malate carrier protein OS=Homo sapiens GN=SLC25A11 PE=1 SV=3,1.293827121,0.154007347
UBP2L,Ubiquitin-associated protein 2-like OS=Homo sapiens GN=UBAP2L PE=1 SV=2,1.290716631,0.153713325
RL23A,60S ribosomal protein L23a OS=Homo sapiens GN=RPL23A PE=1 SV=1,1.289669415,0.198091728
TBC15,TBC1 domain family member 15 OS=Homo sapiens GN=TBC1D15 PE=1 SV=2,1.289323282,0.358773665
PHB2,Prohibitin-2 OS=Homo sapiens GN=PHB2 PE=1 SV=2,1.288189895,0.006121212
FACR1,Fatty acyl-CoA reductase 1 OS=Homo sapiens GN=FAR1 PE=1 SV=1,1.279432058,0.199171086
NCBP1,Nuclear cap-binding protein subunit 1 OS=Homo sapiens GN=NCBP1 PE=1 SV=1,1.277970223,0.646940124
TANC1,Protein TANC1 OS=Homo sapiens GN=TANC1 PE=1 SV=3,1.275726099,0.904769962
RS26,40S ribosomal protein S26 OS=Homo sapiens GN=RPS26 PE=1 SV=3,1.273644127,0.032645012
SKA1,Spindle and kinetochore-associated protein 1 OS=Homo sapiens GN=SKA1 PE=1 SV=1,1.272030881,0.651401613
VDAC1,Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens GN=VDAC1 PE=1 SV=2,1.271158579,0.921841573
RAGP1,Ran GTPase-activating protein 1 OS=Homo sapiens GN=RANGAP1 PE=1 SV=1,1.269305051,0.00835393
NEPRO,Nucleolus and neural progenitor protein OS=Homo sapiens GN=NEPRO PE=1 SV=3,1.269298175,0.897491191
VIME,Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4,1.268147533,0.051679109
TCPZ,T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=1 SV=3,1.265014385,0.068830089
